learning_seed,n_samples_per_state,variant_seed,n_admissible_edges,baseline_safe_or_boundary_rate,baseline_risky_terminal_rate
1,1200,1000,44,0.5972222222222222,0.05277777777777778
1,1200,1001,41,0.6333333333333333,0.041666666666666664
1,1200,1002,46,0.611111111111111,0.05555555555555555
1,1200,1003,44,0.5972222222222222,0.05277777777777778
1,1200,1004,43,0.5694444444444444,0.075
1,1200,1005,45,0.6027777777777777,0.06944444444444445
1,1200,1006,44,0.5555555555555556,0.08055555555555556
1,1200,1007,42,0.4111111111111111,0.08888888888888889
1,1200,1008,43,0.611111111111111,0.05555555555555555
1,1200,1009,41,0.7111111111111111,0.07777777777777778
1,1200,1010,42,0.6777777777777778,0.08611111111111111
1,1200,1011,44,0.7111111111111111,0.06111111111111111
