target_feature,n_pairs,n_cells,disagreement_h3_rate,present_only_h3_rate,absent_only_h3_rate,both_pass_h3_rate,both_fail_h3_rate,present_H3_rate,absent_H3_rate,present_minus_absent_H3_rate,edge_sensitive_cell_rate,all_pass_tied_cell_rate,all_fail_tied_cell_rate,mixed_but_tied_cell_rate,disagreement_mean_baseline_safe_midpoint,tied_mean_baseline_safe_midpoint,disagreement_mean_abs_safe_gain_gap,tied_mean_abs_safe_gain_gap
edge__benign_assessed__clarify,384,24,0.0546875,0.0390625,0.015625,0.2916666666666667,0.6536458333333334,0.3307291666666667,0.3072916666666667,0.0234375,0.3333333333333333,0.20833333333333334,0.4166666666666667,0.041666666666666664,0.4368716931216931,0.39300772880318346,0.034259259259259274,0.017328588919498015
edge__risky_assessed__refuse,384,24,0.19270833333333334,0.005208333333333333,0.1875,0.3151041666666667,0.4921875,0.3203125,0.5026041666666666,-0.18229166666666663,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,0.43246058558558553,0.3506317204301075,0.1182057057057057,0.03693100358422937
