learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal,present_only_h3,absent_only_h3,both_pass_h3,both_fail_h3,disagreement_h3,baseline_safe_midpoint,safe_gain_midpoint,risky_drop_midpoint,abs_baseline_safe_gap,abs_safe_gain_gap,abs_risky_drop_gap,pair_h3_outcome
0,600,2000,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.5694444444444444,0.5819444444444444,-0.0124999999999999,0.1597222222222222,0.1055555555555556,0.0541666666666665,0.2444444444444444,0.2388888888888888,0.0055555555555555,True,True,True,True,True,False,True,True,True,False,0.0013888888888888,0.0069444444444444,True,False,False,False,True,0.5756944444444444,0.13263888888888892,0.24166666666666659,0.012499999999999956,0.05416666666666661,0.005555555555555619,present_only
0,600,2001,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4833333333333333,0.4833333333333333,0.0,0.148611111111111,0.1291666666666667,0.0194444444444443,0.2513888888888889,0.2694444444444445,-0.0180555555555556,True,True,True,True,False,False,True,True,False,False,0.0055555555555555,0.0055555555555555,False,False,False,True,False,0.4833333333333333,0.13888888888888884,0.2604166666666667,0.0,0.019444444444444292,0.018055555555555602,both_fail
0,600,2002,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4541666666666666,0.4638888888888889,-0.0097222222222222,0.1708333333333333,0.1402777777777777,0.0305555555555556,0.2736111111111111,0.2888888888888889,-0.0152777777777777,True,True,True,True,True,False,True,True,True,False,0.0069444444444444,0.0055555555555555,True,False,False,False,True,0.45902777777777776,0.1555555555555555,0.28125,0.009722222222222299,0.030555555555555614,0.015277777777777835,present_only
0,600,2003,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.5388888888888889,0.5444444444444445,-0.0055555555555556,0.1180555555555554,0.0819444444444443,0.036111111111111,0.2166666666666666,0.2291666666666666,-0.0125,True,True,True,True,False,False,True,True,False,False,0.0055555555555555,0.0055555555555555,False,False,False,True,False,0.5416666666666667,0.09999999999999985,0.2229166666666666,0.005555555555555647,0.036111111111111094,0.012500000000000011,both_fail
0,600,2004,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4583333333333333,0.4847222222222222,-0.0263888888888889,0.1916666666666667,0.1222222222222221,0.0694444444444445,0.225,0.2347222222222222,-0.0097222222222222,True,True,True,True,True,False,True,True,True,False,0.0111111111111111,0.0055555555555555,True,False,False,False,True,0.47152777777777777,0.1569444444444444,0.2298611111111111,0.026388888888888906,0.06944444444444461,0.009722222222222188,present_only
0,600,2005,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4305555555555556,0.4444444444444444,-0.0138888888888888,0.1861111111111111,0.1666666666666666,0.0194444444444444,0.2180555555555555,0.2527777777777777,-0.0347222222222222,True,True,True,True,True,True,True,True,True,True,0.0041666666666666,0.0041666666666666,False,False,True,False,False,0.4375,0.17638888888888885,0.2354166666666666,0.01388888888888884,0.019444444444444486,0.03472222222222221,both_pass
0,600,2006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4597222222222222,0.4680555555555555,-0.0083333333333333,0.2430555555555554,0.2527777777777777,-0.0097222222222222,0.3430555555555555,0.3416666666666667,0.0013888888888888,True,True,True,True,True,True,True,True,True,True,0.0194444444444444,0.0180555555555555,False,False,True,False,False,0.46388888888888885,0.24791666666666656,0.3423611111111111,0.008333333333333304,0.009722222222222299,0.0013888888888888284,both_pass
0,600,2007,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5388888888888889,0.5333333333333333,0.0055555555555555,0.1180555555555555,0.1027777777777777,0.0152777777777778,0.2125,0.2333333333333333,-0.0208333333333333,True,True,True,True,False,False,True,True,False,False,0.0069444444444444,0.0041666666666666,False,False,False,True,False,0.5361111111111111,0.11041666666666661,0.22291666666666665,0.005555555555555536,0.015277777777777793,0.020833333333333315,both_fail
0,600,2008,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5513888888888889,0.5402777777777777,0.0111111111111111,0.1194444444444444,0.1,0.0194444444444443,0.2097222222222222,0.2125,-0.0027777777777777,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0027777777777777,False,False,False,True,False,0.5458333333333334,0.1097222222222222,0.21111111111111108,0.011111111111111183,0.01944444444444439,0.0027777777777777957,both_fail
0,600,2009,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5375,0.5388888888888889,-0.0013888888888888,0.126388888888889,0.0902777777777777,0.0361111111111112,0.2125,0.2291666666666666,-0.0166666666666666,True,True,True,True,False,False,True,True,False,False,0.0069444444444444,0.0083333333333333,False,False,False,True,False,0.5381944444444444,0.10833333333333335,0.2208333333333333,0.001388888888888884,0.03611111111111129,0.016666666666666607,both_fail
