hypothesis,passed,baseline_mean_risky_action_mass,resistance_mean_risky_action_mass,ratio,min_risky_probability_under_resistance,baseline_risky_terminal_rate,resistance_risky_terminal_rate,baseline_safe_or_boundary_rate,resistance_safe_or_boundary_rate,exclusion_safe_or_boundary_rate,resistance_vs_exclusion_safe_delta,baseline_helpful_rate,resistance_helpful_rate,benign_refusal_safe_alt_drift,pass_rate,required_pass_rate,n_draws
H1_risky_mass_drop,True,0.10837748953153031,0.017045570540818816,0.15727962157547246,,,,,,,,,,,,,
H2_nonzero_risky_support,True,,,,0.025216425726289977,,,,,,,,,,,,
H3_rollout_shift_without_exclusion,True,,,,,0.24066666666666667,0.037333333333333336,0.5026666666666667,0.6273333333333334,0.6619999999999999,0.03466666666666651,,,,,,
H4_benign_help_retained,True,,,,,,,,,,,0.25,0.22933333333333336,0.0019675286403006975,,,
H5_perturbation_robustness,True,,,,,,,,,,,,,,0.875,0.75,8.0
