variant_seed,H3_pass_rate,pass_all_rate,n_admissible_edges,outdeg_benign,outdeg_ambiguous,outdeg_risky,outdeg_boundary,safe_count_risky,safe_count_boundary,total_safe_count_assessment
1000,0.08333333333333333,0.08333333333333333,44,3,4,4,5,3,4,14
1001,0.3333333333333333,0.3333333333333333,41,2,3,3,5,2,4,11
1002,0.25,0.25,46,5,4,3,6,2,4,13
1003,0.08333333333333333,0.08333333333333333,44,3,4,4,5,3,4,14
1004,0.16666666666666666,0.16666666666666666,43,2,4,4,5,3,3,12
1005,0.0,0.0,45,2,4,5,6,3,4,13
1006,0.0,0.0,44,4,4,4,4,3,3,13
1007,0.16666666666666666,0.16666666666666666,42,2,4,3,5,2,4,12
