learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal
0,600,2000,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.5694444444444444,0.5819444444444444,-0.012499999999999956,0.1597222222222222,0.10555555555555562,0.054166666666666585,0.24444444444444444,0.23888888888888887,0.005555555555555564,True,True,True,True,True,False,True,True,True,False,0.001388888888888889,0.006944444444444444
0,600,2001,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.48333333333333334,0.48333333333333334,0.0,0.14861111111111108,0.1291666666666667,0.019444444444444375,0.2513888888888889,0.2694444444444445,-0.018055555555555602,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556
0,600,2002,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.45416666666666666,0.4638888888888889,-0.009722222222222243,0.17083333333333334,0.14027777777777772,0.030555555555555614,0.27361111111111114,0.2888888888888889,-0.015277777777777779,True,True,True,True,True,False,True,True,True,False,0.006944444444444444,0.005555555555555556
0,600,2003,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.5388888888888889,0.5444444444444445,-0.005555555555555647,0.11805555555555547,0.08194444444444438,0.036111111111111094,0.21666666666666665,0.22916666666666666,-0.012500000000000011,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556
0,600,2004,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4583333333333333,0.4847222222222222,-0.026388888888888906,0.1916666666666667,0.12222222222222218,0.06944444444444453,0.225,0.23472222222222222,-0.009722222222222215,True,True,True,True,True,False,True,True,True,False,0.011111111111111112,0.005555555555555556
0,600,2005,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4305555555555556,0.4444444444444444,-0.01388888888888884,0.18611111111111112,0.16666666666666663,0.019444444444444486,0.21805555555555553,0.25277777777777777,-0.03472222222222224,True,True,True,True,True,True,True,True,True,True,0.004166666666666667,0.004166666666666667
0,600,2006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.45972222222222225,0.46805555555555556,-0.008333333333333304,0.24305555555555547,0.25277777777777777,-0.009722222222222299,0.34305555555555556,0.3416666666666667,0.001388888888888884,True,True,True,True,True,True,True,True,True,True,0.019444444444444445,0.018055555555555554
0,600,2007,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5388888888888889,0.5333333333333333,0.005555555555555536,0.11805555555555558,0.10277777777777775,0.015277777777777835,0.2125,0.2333333333333333,-0.020833333333333315,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.004166666666666667
0,600,2008,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5513888888888889,0.5402777777777777,0.011111111111111183,0.11944444444444446,0.10000000000000009,0.019444444444444375,0.20972222222222223,0.21250000000000002,-0.0027777777777777957,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778
0,600,2009,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5375,0.5388888888888889,-0.001388888888888884,0.126388888888889,0.09027777777777779,0.036111111111111205,0.2125,0.22916666666666666,-0.016666666666666663,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.008333333333333333
0,600,2010,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.5291666666666667,0.5375000000000001,-0.008333333333333415,0.11805555555555558,0.08611111111111103,0.03194444444444455,0.21944444444444444,0.2277777777777778,-0.00833333333333336,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.002777777777777778
0,600,2011,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4708333333333333,0.4736111111111111,-0.002777777777777768,0.15694444444444444,0.12638888888888888,0.030555555555555558,0.25972222222222224,0.26805555555555555,-0.008333333333333304,True,True,True,True,True,False,True,True,True,False,0.006944444444444444,0.008333333333333333
0,600,2012,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.45,0.4444444444444445,0.005555555555555536,0.14166666666666666,0.1277777777777777,0.01388888888888895,0.2597222222222222,0.2569444444444444,0.002777777777777768,True,True,True,True,False,False,True,True,False,False,0.011111111111111112,0.011111111111111112
0,600,2013,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.5291666666666667,0.5375000000000001,-0.008333333333333415,0.11805555555555558,0.08611111111111103,0.03194444444444455,0.21944444444444444,0.2277777777777778,-0.00833333333333336,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.002777777777777778
0,600,2014,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4861111111111111,0.48333333333333334,0.002777777777777768,0.14583333333333331,0.1291666666666667,0.016666666666666607,0.2513888888888889,0.2694444444444445,-0.018055555555555602,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556
