feature,n_pairs,mean_baseline_safe_gap,present_H3_rate,absent_H3_rate,present_minus_absent_H3_rate,mean_present_safe_gain,mean_absent_safe_gain,mean_present_minus_absent_safe_gain,mean_present_risky_terminal,mean_absent_risky_terminal
edge__ambiguous_assessed__clarify,4,0.0055555555555555775,0.5,0.5,0.0,0.13923611111111106,0.1572916666666667,-0.018055555555555616,0.007638888888888888,0.008333333333333333
edge__benign_assessed__clarify,3,0.007407407407407436,0.6666666666666666,0.6666666666666666,0.0,0.15833333333333327,0.20046296296296295,-0.042129629629629683,0.00972222222222222,0.010648148148148148
edge__boundary_assessed__high_level_explanation,8,0.005902777777777812,0.0,0.25,-0.25,0.11250000000000002,0.11996527777777775,-0.007465277777777737,0.0034722222222222225,0.005381944444444444
edge__risky_assessed__refuse,7,0.007539682539682536,0.2857142857142857,0.2857142857142857,0.0,0.08214285714285716,0.10337301587301591,-0.02123015873015875,0.0033730158730158723,0.004960317460317461
