learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal,original_present_minus_absent_H3_rate,original_sign
0,600,3000,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.4861111111111111,0.48333333333333334,0.002777777777777768,0.14583333333333331,0.1291666666666667,0.016666666666666607,0.2513888888888889,0.2694444444444445,-0.018055555555555602,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.005555555555555556,0.25,1
0,600,3001,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4861111111111111,0.5083333333333333,-0.0222222222222222,0.14166666666666666,0.11249999999999993,0.02916666666666673,0.16805555555555554,0.18472222222222223,-0.01666666666666669,True,True,True,True,False,False,True,True,False,False,0.005555555555555556,0.002777777777777778,0.25,1
0,600,3002,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5388888888888889,0.5430555555555555,-0.004166666666666652,0.10416666666666663,0.08611111111111114,0.01805555555555549,0.21527777777777776,0.22777777777777777,-0.012500000000000011,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.004166666666666667,0.25,1
0,600,3003,benign_assessed,clarify,edge__benign_assessed__clarify,45,44,0.5305555555555556,0.5444444444444445,-0.01388888888888895,0.13194444444444442,0.11249999999999993,0.019444444444444486,0.20416666666666666,0.2263888888888889,-0.022222222222222227,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.004166666666666667,0.25,1
0,600,3004,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.5375,0.5430555555555555,-0.005555555555555536,0.10555555555555551,0.08472222222222225,0.02083333333333326,0.21666666666666667,0.22777777777777777,-0.0111111111111111,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.004166666666666667,0.25,1
0,600,3005,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.5361111111111111,0.5638888888888889,-0.02777777777777779,0.14583333333333337,0.09583333333333333,0.050000000000000044,0.20555555555555555,0.21944444444444444,-0.013888888888888895,True,True,True,True,False,False,True,True,False,False,0.006944444444444444,0.004166666666666667,0.25,1
0,600,3006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4736111111111111,0.4875,-0.013888888888888895,0.16666666666666663,0.14444444444444443,0.0222222222222222,0.2472222222222222,0.2652777777777778,-0.018055555555555575,True,True,True,True,True,False,True,True,True,False,0.009722222222222222,0.009722222222222222,0.25,1
0,600,3007,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4861111111111111,0.46805555555555556,0.018055555555555547,0.15277777777777773,0.15833333333333333,-0.005555555555555591,0.2569444444444445,0.28472222222222227,-0.02777777777777779,True,True,True,True,True,True,True,True,True,True,0.004166666666666667,0.005555555555555556,0.25,1
0,600,3008,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.5152777777777777,0.49027777777777776,0.024999999999999967,0.1347222222222223,0.17777777777777776,-0.04305555555555546,0.17638888888888887,0.22361111111111112,-0.04722222222222225,True,True,True,True,False,True,True,True,False,True,0.005555555555555556,0.008333333333333333,0.25,1
0,600,3009,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.4777777777777778,0.45972222222222225,0.018055555555555547,0.16111111111111104,0.1680555555555555,-0.006944444444444475,0.27083333333333337,0.2763888888888889,-0.005555555555555536,True,True,True,True,True,True,True,True,True,True,0.002777777777777778,0.006944444444444444,0.25,1
