target_feature,n_activation_cells,sign_match_rate,mean_original_delta,mean_replicate_delta,positive_replicate_rate,negative_replicate_rate,zero_replicate_rate
edge__benign_assessed__clarify,8,0.625,0.0703125,0.09765625,0.75,0.125,0.125
edge__risky_assessed__refuse,10,1.0,-0.4375,-0.4375,0.2,0.8,0.0
